label,Filename
1,S74-AFIB-0.txt
1,S74-AFIB-1.txt
1,S74-AFIB-2.txt
1,S74-AFIB-3.txt
1,S74-AFIB-4.txt
1,S74-AFIB-5.txt
1,S74-AFIB-6.txt
1,S74-AFIB-7.txt
1,S74-AFIB-8.txt
1,S74-AFIB-9.txt
1,S74-AFIB-10.txt
1,S74-AFIB-11.txt
1,S74-AFIB-12.txt
1,S74-AFIB-13.txt
1,S74-AFIB-14.txt
1,S74-AFIB-15.txt
1,S74-AFIB-16.txt
1,S74-AFIB-17.txt
1,S74-AFIB-18.txt
1,S74-AFIB-19.txt
1,S74-AFIB-20.txt
1,S74-AFIB-21.txt
1,S74-AFIB-22.txt
1,S74-AFIB-23.txt
1,S74-AFIB-24.txt
1,S74-AFIB-25.txt
1,S74-AFIB-26.txt
1,S74-AFIB-27.txt
1,S74-AFIB-28.txt
1,S74-AFIB-29.txt
1,S74-AFIB-30.txt
1,S74-AFIB-31.txt
1,S74-AFIB-32.txt
1,S74-AFIB-33.txt
1,S74-AFIB-34.txt
1,S74-AFIB-35.txt
1,S74-AFIB-36.txt
1,S74-AFIB-37.txt
1,S74-AFIB-38.txt
1,S74-AFIB-39.txt
1,S74-AFIB-40.txt
1,S74-AFIB-41.txt
1,S74-AFIB-42.txt
1,S74-AFIB-43.txt
1,S74-AFIB-44.txt
1,S74-AFIB-45.txt
1,S74-AFIB-46.txt
1,S74-AFIB-47.txt
1,S74-AFIB-48.txt
1,S74-AFIB-49.txt
1,S74-AFIB-50.txt
1,S74-AFIB-51.txt
1,S74-AFIB-52.txt
1,S74-AFIB-53.txt
1,S74-AFIB-54.txt
1,S74-AFIB-55.txt
1,S74-AFIB-56.txt
1,S74-AFIB-57.txt
1,S74-AFIB-58.txt
1,S74-AFIB-59.txt
1,S74-AFIB-60.txt
1,S74-AFIB-61.txt
1,S74-AFIB-62.txt
1,S74-AFIB-63.txt
1,S74-AFIB-64.txt
1,S74-AFIB-65.txt
1,S74-AFIB-66.txt
1,S74-AFIB-67.txt
1,S74-AFIB-68.txt
1,S74-AFIB-69.txt
1,S74-AFIB-70.txt
1,S74-AFIB-71.txt
1,S74-AFIB-72.txt
1,S74-AFIB-73.txt
1,S74-AFIB-74.txt
1,S74-AFIB-75.txt
1,S74-AFIB-76.txt
1,S74-AFIB-77.txt
1,S74-AFIB-78.txt
1,S74-AFIB-79.txt
1,S74-AFIB-80.txt
1,S74-AFIB-81.txt
1,S74-AFIB-82.txt
1,S74-AFIB-83.txt
1,S74-AFIB-84.txt
1,S74-AFIB-85.txt
1,S74-AFIB-86.txt
1,S74-AFIB-87.txt
1,S74-AFIB-88.txt
1,S74-AFIB-89.txt
1,S74-AFIB-90.txt
1,S74-AFIB-91.txt
1,S74-AFIB-92.txt
1,S74-AFIB-93.txt
1,S74-AFIB-94.txt
1,S74-AFIB-95.txt
1,S74-AFIB-96.txt
1,S74-AFIB-97.txt
1,S74-AFIB-98.txt
1,S74-AFIB-99.txt
1,S74-AFIB-100.txt
1,S74-AFIB-101.txt
1,S74-AFIB-102.txt
1,S74-AFIB-103.txt
1,S74-AFIB-104.txt
1,S74-AFIB-105.txt
1,S74-AFIB-106.txt
1,S74-AFIB-107.txt
1,S74-AFIB-108.txt
1,S74-AFIB-109.txt
1,S74-AFIB-110.txt
1,S74-AFIB-111.txt
1,S74-AFIB-112.txt
1,S74-AFIB-113.txt
1,S74-AFIB-114.txt
1,S74-AFIB-115.txt
1,S74-AFIB-116.txt
1,S74-AFIB-117.txt
1,S74-AFIB-118.txt
1,S74-AFIB-119.txt
1,S74-AFIB-120.txt
1,S74-AFIB-121.txt
1,S74-AFIB-122.txt
1,S74-AFIB-123.txt
1,S74-AFIB-124.txt
1,S74-AFIB-125.txt
1,S74-AFIB-126.txt
1,S74-AFIB-127.txt
1,S74-AFIB-128.txt
1,S74-AFIB-129.txt
1,S74-AFIB-130.txt
1,S74-AFIB-131.txt
1,S74-AFIB-132.txt
1,S74-AFIB-133.txt
1,S74-AFIB-134.txt
1,S74-AFIB-135.txt
1,S74-AFIB-136.txt
1,S74-AFIB-137.txt
1,S74-AFIB-138.txt
